No,Fecha,Apertura,Máximo,Mínimo,Cierre,Cierre Ajus,Volumen,,
1,31/01/2017,47131.23,47243.07,46928.48,47001.06,47001.06,215251100,,
2,01/02/2017,47001.97,47225.23,46780.03,47009.51,47009.51,170788000,,
3,02/02/2017,47019.85,47111.78,46909.31,47095.07,47095.07,205641600,,
4,03/02/2017,47097.51,47228.65,46801.77,47225.1,47225.1,249033100,,
5,07/02/2017,47228.04,47258.29,46614.38,46728.95,46728.95,301439900,,
6,08/02/2017,46767.22,46985.23,46639.21,46921.71,46921.71,209949100,,
7,09/02/2017,46907.01,47461.6,46850.09,47232.17,47232.17,221049300,,
8,10/02/2017,47222.94,48115.98,47123.03,47797.04,47797.04,185209300,, 
9,13/02/2017,47798.38,47904.73,47391.48,47661.69,47661.69,174042300,,
10,14/02/2017,47650.24,47687.13,47279.43,47391.24,47391.24,176260000,,
11,15/02/2017,47392.44,47467.14,47059.68,47161.74,47161.74,191221800,,
12,16/02/2017,47165.68,47444.27,47121.18,47293.85,47293.85,181649900,,
13,17/02/2017,47303.05,47386.17,47005.42,47164.71,47164.71,134640300,,
14,20/02/2017,47159.16,47612.29,47046.4,47083.81,47083.81,32289600,,
15,21/02/2017,47089.12,47638.52,47089.12,47614.99,47614.99,207680600,,
16,22/02/2017,47614.69,47654.64,47194.58,47195.68,47195.68,171101300,,
17,23/02/2017,47197.19,47482.61,46842.46,47206.36,47206.36,231075800,,
18,24/02/2017,47215.56,47215.56,46587.93,47047.67,47047.67,183014900,,
19,27/02/2017,47040.95,47464.25,46859.57,47349.2,47349.2,181160700,,
20,28/02/2017,47352.45,47378.09,46692.47,46856.79,46856.79,252313600,,
21,01/03/2017,46853.67,47564.35,46853.67,47467.95,47467.95,103945000,,
22,02/03/2017,47458.69,47513.9,46960.25,47288.66,47288.66,179056300,,
23,03/03/2017,47292.3,47574.47,47001.99,47414.57,47414.57,117699900,,
24,06/03/2017,47407.29,47891.33,46995.61,47883.59,47883.59,144357200,,
25,07/03/2017,47883.99,47886.24,47406.29,47419.16,47419.16,170254200,,
26,08/03/2017,47410.19,47688.77,47298.72,47539.22,47539.22,132044700,,
27,09/03/2017,47538.82,47563.37,47072.57,47263.92,47263.92,158224100,,
28,10/03/2017,47262.91,47481.69,47026.37,47102.31,47102.31,135301800,,
29,13/03/2017,47093.31,47288.75,46965.88,47101.14,47101.14,131668800,,
30,14/03/2017,47095.78,47181.23,46597.58,47087.97,47087.97,197609500,,
31,15/03/2017,47087.77,47583.6,46905.53,47470.31,47470.31,177679600,,
32,16/03/2017,47496,48333.61,47333.79,48056.56,48056.56,234060900,,
33,17/03/2017,48066.82,48626.12,47924.89,48593.44,48593.44,462274100,,
34,21/03/2017,48593.64,49240.09,48422.84,48589.05,48589.05,249738100,,
35,22/03/2017,48592.26,48612.61,48201.81,48487.3,48487.3,185331900,,
36,23/03/2017,48481.15,48898.32,48437,48676.91,48676.91,173728800,,
37,24/03/2017,48675.19,49105.31,48595.08,49083.85,49083.85,179849100,,
38,27/03/2017,49082.89,49312.99,48743.81,49312.99,49312.99,175804400,,
